title,critic rating(%),audience rating(%),genres,available_date,img_path,genre1,genre2,genre3,genre4,genre5,genre6
THE GARDEN LEFT BEHIND,92.0,88.0,Drama,2020-09-08,data/img/poster-192.jpg,Drama,NaN,NaN,NaN,NaN,NaN
HEIMAT IS A SPACE IN TIME,100.0,0.0,Documentary,2020-03-06,data/img/poster-193.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
CHILDREN OF THE SEA,61.0,60.0,"Fantasy, Animation, Adventure",2020-08-30,data/img/poster-194.jpg,Fantasy, Animation, Adventure,NaN,NaN,NaN
MEASURE FOR MEASURE,36.0,83.0,Drama,2020-09-04,data/img/poster-195.jpg,Drama,NaN,NaN,NaN,NaN,NaN
I AM WOMAN,67.0,71.0,"Biography, Drama, Music",2020-09-11,data/img/poster-196.jpg,Biography, Drama, Music,NaN,NaN,NaN
ENTWINED,65.0,0.0,"Fantasy, Horror",2020-08-28,data/img/poster-197.jpg,Fantasy, Horror,NaN,NaN,NaN,NaN
NAIL IN THE COFFIN: THE FALL AND RISE OF VAMPIRO,100.0,50.0,Documentary,2020-09-08,data/img/poster-198.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
"BLOODY NOSE, EMPTY POCKETS",92.0,72.0,Documentary,2020-09-01,data/img/poster-200.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
FEELS GOOD MAN,96.0,82.0,Documentary,2020-09-04,data/img/poster-201.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
EPICENTRO,93.0,0.0,Documentary,2020-08-28,data/img/poster-202.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
THE MOLE AGENT,94.0,100.0,Documentary,2020-01-25,data/img/poster-203.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
FATIMA,62.0,94.0,"History, Drama",2020-08-28,data/img/poster-204.jpg,History, Drama,NaN,NaN,NaN,NaN
FOLLOWED,71.0,46.0,Horror,2020-06-19,data/img/poster-206.jpg,Horror,NaN,NaN,NaN,NaN,NaN
YOU CANNOT KILL DAVID ARQUETTE,83.0,90.0,Documentary,2020-08-21,data/img/poster-207.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
RENT-A-PAL,68.0,71.0,Mystery And Thriller,2020-09-11,data/img/poster-209.jpg,Mystery And Thriller,NaN,NaN,NaN,NaN,NaN
THE ARGUMENT,72.0,55.0,Comedy,2020-09-04,data/img/poster-210.jpg,Comedy,NaN,NaN,NaN,NaN,NaN
UP ON THE GLASS,50.0,100.0,"Mystery And Thriller, Drama",2020-09-08,data/img/poster-211.jpg,Mystery And Thriller, Drama,NaN,NaN,NaN,NaN
TOM OF YOUR LIFE,67.0,73.0,"Comedy, Drama, Sci Fi",2020-09-01,data/img/poster-212.jpg,Comedy, Drama, Sci Fi,NaN,NaN,NaN
THE OWNERS,65.0,28.0,Mystery And Thriller,2020-09-04,data/img/poster-215.jpg,Mystery And Thriller,NaN,NaN,NaN,NaN,NaN
STILL HERE,29.0,90.0,"Mystery And Thriller, Drama",2020-08-28,data/img/poster-216.jpg,Mystery And Thriller, Drama,NaN,NaN,NaN,NaN
ROBIN'S WISH,89.0,85.0,Documentary,2020-09-01,data/img/poster-217.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
IMMORTAL,88.0,97.0,"Drama, Mystery And Thriller",2020-09-01,data/img/poster-219.jpg,Drama, Mystery And Thriller,NaN,NaN,NaN,NaN
FIRST ONE IN,100.0,80.0,Comedy,2020-09-08,data/img/poster-220.jpg,Comedy,NaN,NaN,NaN,NaN,NaN
AMERICAN STREET KID,86.0,95.0,Documentary,2020-08-21,data/img/poster-221.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
RAVAGE,67.0,35.0,"Mystery And Thriller, Action, Horror",2020-08-14,data/img/poster-222.jpg,Mystery And Thriller, Action, Horror,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,Horror,NaN,NaN,NaN,NaN,NaN
OPEN 24 HOURS,40.0,34.0,Horror,2020-08-16,data/img/poster-224.jpg,Action, Adventure,NaN,NaN,NaN,NaN
THE PREY,73.0,0.0,"Action, Adventure",2020-08-21,data/img/poster-226.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
SOMETIMES ALWAYS NEVER,82.0,68.0,"Comedy, Drama",2020-03-06,data/img/poster-227.jpg,Romance,NaN,NaN,NaN,NaN,NaN
BENJAMIN,89.0,73.0,Romance,2020-08-25,data/img/poster-228.jpg,Romance,NaN,NaN,NaN,NaN,NaN
CANE RIVER,100.0,38.0,Romance,2020-07-06,data/img/poster-229.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
PARIAH DOG,100.0,100.0,Documentary,2020-08-18,data/img/poster-230.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
DESERT ONE,90.0,0.0,Documentary,2020-08-21,data/img/poster-231.jpg,Comedy, Mystery And Thriller,NaN,NaN,NaN,NaN
SPREE,65.0,58.0,"Comedy, Mystery And Thriller",2020-08-14,data/img/poster-232.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
HAPPY HAPPY JOY JOY: THE REN & STIMPY STORY,81.0,93.0,Documentary,2020-08-14,data/img/poster-233.jpg,History, Biography, Drama,NaN,NaN,NaN
TESLA,59.0,43.0,"History, Biography, Drama",2020-08-21,data/img/poster-234.jpg,History, Biography, Drama,NaN,NaN,NaN
EMPEROR,71.0,63.0,"History, Biography, Drama",2020-08-18,data/img/poster-235.jpg,Drama, History,NaN,NaN,NaN,NaN
THE 24TH,78.0,94.0,"Drama, History",2020-08-21,data/img/poster-236.jpg,Mystery And Thriller, Crime, Drama,NaN,NaN,NaN
DARKNESS FALLS,13.0,0.0,"Mystery And Thriller, Crime, Drama",2020-06-12,data/img/poster-237.jpg,Drama, Romance,NaN,NaN,NaN,NaN
THE LAWYER,100.0,0.0,"Drama, Romance",2020-08-18,data/img/poster-238.jpg,Mystery And Thriller, Drama,NaN,NaN,NaN,NaN
CENTIGRADE,40.0,23.0,"Mystery And Thriller, Drama",2020-08-28,data/img/poster-240.jpg,Mystery And Thriller, Action,NaN,NaN,NaN,NaN
ONE NIGHT IN BANGKOK,33.0,37.0,"Mystery And Thriller, Action",2020-08-23,data/img/poster-241.jpg,Horror, Western,NaN,NaN,NaN,NaN
THE PALE DOOR,49.0,67.0,"Horror, Western",2020-08-21,data/img/poster-242.jpg,Sci Fi, Mystery And Thriller, Horror,NaN,NaN,NaN
THE HONEYMOON PHASE,75.0,0.0,"Sci Fi, Mystery And Thriller, Horror",2020-08-21,data/img/poster-243.jpg,Mystery And Thriller, Action,NaN,NaN,NaN,NaN
ROGUE,67.0,0.0,"Mystery And Thriller, Action",2020-08-28,data/img/poster-244.jpg,Mystery And Thriller,NaN,NaN,NaN,NaN,NaN
THE VANISHED,21.0,0.0,Mystery And Thriller,2020-08-21,data/img/poster-245.jpg,Mystery And Thriller, Action,NaN,NaN,NaN,NaN
HARD KILL,0.0,63.0,"Mystery And Thriller, Action",2020-08-25,data/img/poster-246.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
DRIVEN TO ABSTRACTION,67.0,0.0,Documentary,2020-08-28,data/img/poster-247.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
PRETENDING I'M A SUPERMAN: THE TONY HAWK VIDEO GAME STORY,93.0,80.0,Documentary,2020-08-18,data/img/poster-248.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
THE BLECH EFFECT,60.0,0.0,Documentary,2020-08-25,data/img/poster-249.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
SKIN: A HISTORY OF NUDITY IN THE MOVIES,83.0,78.0,Documentary,2020-08-18,data/img/poster-251.jpg,Music, Documentary,NaN,NaN,NaN,NaN
JAZZ ON A SUMMER'S DAY,100.0,81.0,"Music, Documentary",2020-08-12,data/img/poster-252.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
THE WEEKEND,89.0,56.0,"Comedy, Drama",2014-03-14,data/img/poster-253.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
SWEET BEAN,85.0,85.0,"Comedy, Drama",2016-03-18,data/img/poster-254.jpg,Drama,NaN,NaN,NaN,NaN,NaN
HOUSE OF HUMMINGBIRD,100.0,68.0,Drama,2020-06-26,data/img/poster-255.jpg,Drama,NaN,NaN,NaN,NaN,NaN
OUT STEALING HORSES,79.0,83.0,Drama,2020-08-07,data/img/poster-256.jpg,Anime, Adventure, Sci Fi,NaN,NaN,NaN
PROMARE,97.0,93.0,"Anime, Adventure, Sci Fi",2019-09-20,data/img/poster-258.jpg,Comedy, Anime,NaN,NaN,NaN,NaN
RIDE YOUR WAVE,93.0,92.0,"Comedy, Anime",2020-08-04,data/img/poster-259.jpg,History, Drama,NaN,NaN,NaN,NaN
WAITING FOR THE BARBARIANS,53.0,63.0,"History, Drama",2020-08-07,data/img/poster-260.jpg,Drama,NaN,NaN,NaN,NaN,NaN
FAGARA,100.0,88.0,Drama,2019-09-13,data/img/poster-261.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
RED PENGUINS,96.0,90.0,Documentary,2020-08-04,data/img/poster-262.jpg,Fantasy, Drama,NaN,NaN,NaN,NaN
THE SECRET GARDEN,66.0,45.0,"Fantasy, Drama",2020-08-07,data/img/poster-263.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
A THOUSAND CUTS,100.0,67.0,Documentary,2020-08-07,data/img/poster-264.jpg,Mystery And Thriller, Drama,NaN,NaN,NaN,NaN
SHE DIES TOMORROW,83.0,23.0,"Mystery And Thriller, Drama",2020-07-31,data/img/poster-267.jpg,Mystery And Thriller, Sci Fi, Horror,NaN,NaN,NaN
SPUTNIK,89.0,72.0,"Mystery And Thriller, Sci Fi, Horror",2020-08-14,data/img/poster-268.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
MADE IN ITALY,49.0,44.0,"Comedy, Drama",2020-08-07,data/img/poster-269.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
"PSYCHOMAGIC, A HEALING ART",75.0,0.0,Documentary,2020-08-07,data/img/poster-270.jpg,Fantasy, Adventure,NaN,NaN,NaN,NaN
MAX RELOAD AND THE NETHER BLASTERS,82.0,62.0,"Fantasy, Adventure",2020-08-07,data/img/poster-271.jpg,Romance, Drama,NaN,NaN,NaN,NaN
ENDLESS,19.0,0.0,"Romance, Drama",2020-08-14,data/img/poster-272.jpg,Mystery And Thriller, Drama, Action, Crime,NaN,NaN
PAYDIRT,22.0,25.0,"Mystery And Thriller, Drama, Action, Crime",2020-08-07,data/img/poster-273.jpg,Adventure, Sci Fi, Kids And Family, Comedy, Animation,NaN
SAMSAM,20.0,0.0,"Adventure, Sci Fi, Kids And Family, Comedy, Animation",2020-08-07,data/img/poster-274.jpg,Mystery And Thriller, Crime, Drama,NaN,NaN,NaN
THE TAX COLLECTOR,19.0,72.0,"Mystery And Thriller, Crime, Drama",2020-08-07,data/img/poster-275.jpg,Drama,NaN,NaN,NaN,NaN,NaN
IRL,100.0,0.0,Drama,2020-08-11,data/img/poster-276.jpg,Comedy, Horror,NaN,NaN,NaN,NaN
UNCLE PECKERHEAD,100.0,0.0,"Comedy, Horror",2020-08-07,data/img/poster-277.jpg,Mystery And Thriller,NaN,NaN,NaN,NaN,NaN
THE BAY OF SILENCE,52.0,56.0,Mystery And Thriller,2020-08-14,data/img/poster-278.jpg,Drama,NaN,NaN,NaN,NaN,NaN
PEARL,57.0,0.0,Drama,2020-08-11,data/img/poster-279.jpg,Comedy, Music,NaN,NaN,NaN,NaN
KAT AND THE BAND,60.0,0.0,"Comedy, Music",2020-08-11,data/img/poster-280.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
MONSTROUS,60.0,33.0,"Mystery And Thriller, Horror",2020-08-11,data/img/poster-281.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
THE AMERICAN NURSE,100.0,89.0,Documentary,2017-04-16,data/img/poster-282.jpg,Mystery And Thriller, Drama,NaN,NaN,NaN,NaN
RETALIATION,80.0,0.0,"Mystery And Thriller, Drama",2020-07-24,data/img/poster-283.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
FISHERMAN'S FRIENDS,66.0,72.0,"Comedy, Drama",2020-07-24,data/img/poster-284.jpg,Comedy,NaN,NaN,NaN,NaN,NaN
"YES, GOD, YES",94.0,67.0,Comedy,2020-07-24,data/img/poster-286.jpg,Drama, History,NaN,NaN,NaN,NaN
SAMURAI MARATHON 1855,75.0,80.0,"Drama, History",2020-05-12,data/img/poster-287.jpg,Horror,NaN,NaN,NaN,NaN,NaN
DEAD DICKS,100.0,50.0,Horror,2020-07-28,data/img/poster-288.jpg,Comedy, Adventure,NaN,NaN,NaN,NaN
LAKE MICHIGAN MONSTER,84.0,0.0,"Comedy, Adventure",2020-08-03,data/img/poster-289.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
DON'T BE NICE,100.0,86.0,Documentary,2019-09-20,data/img/poster-290.jpg,Adventure, Sci Fi, Action,NaN,NaN,NaN
GUNDALA,83.0,74.0,"Adventure, Sci Fi, Action",2020-07-28,data/img/poster-291.jpg,Crime, Mystery And Thriller, Drama,NaN,NaN,NaN
THE SHADOW OF VIOLENCE,94.0,68.0,"Crime, Mystery And Thriller, Drama",2020-07-31,data/img/poster-292.jpg,Romance, Drama,NaN,NaN,NaN,NaN
THE SECRET: DARE TO DREAM,27.0,73.0,"Romance, Drama",2020-07-31,data/img/poster-293.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
AMULET,70.0,41.0,"Mystery And Thriller, Horror",2020-07-24,data/img/poster-294.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
REBUILDING PARADISE,92.0,75.0,Documentary,2020-07-31,data/img/poster-295.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
THE FIGHT,98.0,68.0,Documentary,2020-07-31,data/img/poster-296.jpg,Horror,NaN,NaN,NaN,NaN,NaN
BLOOD VESSEL,73.0,24.0,Horror,2020-07-16,data/img/poster-297.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
THE RENTAL,75.0,45.0,"Mystery And Thriller, Horror",2020-07-24,data/img/poster-298.jpg,Crime, Mystery And Thriller, Drama,NaN,NaN,NaN
MOST WANTED,68.0,46.0,"Crime, Mystery And Thriller, Drama",2020-07-24,data/img/poster-299.jpg,Comedy,NaN,NaN,NaN,NaN,NaN
TIJUANA JACKSON: PURPOSE OVER PRISON,67.0,98.0,Comedy,2020-07-24,data/img/poster-300.jpg,Mystery And Thriller, Action,NaN,NaN,NaN,NaN
LEGACY OF LIES,86.0,49.0,"Mystery And Thriller, Action",2020-07-26,data/img/poster-301.jpg,Crime, Drama,NaN,NaN,NaN,NaN
THE BIG UGLY,41.0,87.0,"Crime, Drama",2020-07-31,data/img/poster-302.jpg,Sci Fi, Action, Horror,NaN,NaN,NaN
DEEP BLUE SEA 3,71.0,37.0,"Sci Fi, Action, Horror",2020-07-05,data/img/poster-303.jpg,Drama,NaN,NaN,NaN,NaN,NaN
SENIOR LOVE TRIANGLE,88.0,0.0,Drama,2020-08-03,data/img/poster-304.jpg,Animation, Adventure, Action,NaN,NaN,NaN
DEATHSTROKE: KNIGHTS & DRAGONS,80.0,55.0,"Animation, Adventure, Action",2020-07-05,data/img/poster-305.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
HELMUT NEWTON: THE BAD AND THE BEAUTIFUL,73.0,0.0,Documentary,2020-07-24,data/img/poster-307.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
HOST,100.0,75.0,"Mystery And Thriller, Horror",2020-07-30,data/img/poster-308.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
STARS AND STRIFE,90.0,0.0,Documentary,2020-08-04,data/img/poster-309.jpg,Drama,NaN,NaN,NaN,NaN,NaN
BUSMAN'S HOLIDAY,86.0,0.0,Drama,2020-07-25,data/img/poster-310.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
GAME OF DEATH,57.0,24.0,"Mystery And Thriller, Horror",2020-07-03,data/img/poster-311.jpg,Drama,NaN,NaN,NaN,NaN,NaN
WE ARE LITTLE ZOMBIES,92.0,64.0,Drama,2020-07-10,data/img/poster-312.jpg,Romance,NaN,NaN,NaN,NaN,NaN
THE SUNLIT NIGHT,35.0,54.0,Romance,2020-07-17,data/img/poster-313.jpg,Sci Fi,NaN,NaN,NaN,NaN,NaN
SKYMAN,63.0,83.0,Sci Fi,2020-06-30,data/img/poster-314.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
TITO,80.0,0.0,"Comedy, Drama",2020-07-10,data/img/poster-315.jpg,Drama,NaN,NaN,NaN,NaN,NaN
GUEST ARTIST,63.0,33.0,Drama,2020-07-19,data/img/poster-316.jpg,Romance, Drama, Fantasy, Gay And Lesbian,NaN,NaN
CARMILLA,71.0,0.0,"Romance, Drama, Fantasy, Gay And Lesbian",2020-07-17,data/img/poster-317.jpg,Drama,NaN,NaN,NaN,NaN,NaN
GUEST OF HONOUR,42.0,57.0,Drama,2020-07-10,data/img/poster-318.jpg,Drama,NaN,NaN,NaN,NaN,NaN
THE PAINTED BIRD,82.0,56.0,Drama,2020-07-17,data/img/poster-319.jpg,Mystery And Thriller, Sci Fi,NaN,NaN,NaN,NaN
VOLITION,88.0,81.0,"Mystery And Thriller, Sci Fi",2020-07-10,data/img/poster-320.jpg,Romance,NaN,NaN,NaN,NaN,NaN
DIRT MUSIC,30.0,54.0,Romance,2020-07-17,data/img/poster-321.jpg,Drama, Western,NaN,NaN,NaN,NaN
FIRST COW,95.0,60.0,"Drama, Western",2020-03-06,data/img/poster-322.jpg,Drama,NaN,NaN,NaN,NaN,NaN
THE PRINCE,93.0,80.0,Drama,2020-07-07,data/img/poster-323.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
AI WEIWEI: YOURS TRULY,83.0,0.0,Documentary,2020-07-08,data/img/poster-324.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
BLESSED CHILD,91.0,0.0,Documentary,2020-07-17,data/img/poster-325.jpg,Horror, Drama,NaN,NaN,NaN,NaN
RELIC,91.0,49.0,"Horror, Drama",2020-07-10,data/img/poster-326.jpg,Comedy, Sports And Fitness, Action,NaN,NaN,NaN
ENTER THE FAT DRAGON,64.0,90.0,"Comedy, Sports And Fitness, Action",2020-02-14,data/img/poster-327.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
ANIMATION OUTLAWS,100.0,0.0,Documentary,2020-07-12,data/img/poster-328.jpg,Sci Fi,NaN,NaN,NaN,NaN,NaN
ARCHIVE,77.0,66.0,Sci Fi,2020-07-10,data/img/poster-329.jpg,Comedy, Sci Fi,NaN,NaN,NaN,NaN
ELVIS FROM OUTER SPACE,0.0,0.0,"Comedy, Sci Fi",2020-07-07,data/img/poster-330.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
"I, PASTAFARI",75.0,79.0,Documentary,2020-07-07,data/img/poster-331.jpg,Comedy, Drama, Music,NaN,NaN,NaN
MIGHTY OAK,61.0,88.0,"Comedy, Drama, Music",2020-06-05,data/img/poster-332.jpg,Mystery And Thriller, Action,NaN,NaN,NaN,NaN
MONEY PLANE,23.0,38.0,"Mystery And Thriller, Action",2020-07-10,data/img/poster-334.jpg,Comedy, Sci Fi,NaN,NaN,NaN,NaN
USELESS HUMANS,40.0,95.0,"Comedy, Sci Fi",2020-07-14,data/img/poster-335.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
NEVER TOO LATE,53.0,40.0,"Comedy, Drama",2020-07-10,data/img/poster-336.jpg,Horror,NaN,NaN,NaN,NaN,NaN
THE BEACH HOUSE,81.0,28.0,Horror,2020-07-09,data/img/poster-337.jpg,Comedy, Adventure,NaN,NaN,NaN,NaN
EASY DOES IT,29.0,79.0,"Comedy, Adventure",2020-07-17,data/img/poster-338.jpg,Mystery And Thriller,NaN,NaN,NaN,NaN,NaN
BROWSE,20.0,0.0,Mystery And Thriller,2020-07-08,data/img/poster-339.jpg,Romance,NaN,NaN,NaN,NaN,NaN
A NICE GIRL LIKE YOU,11.0,48.0,Romance,2020-07-15,data/img/poster-340.jpg,Mystery And Thriller,NaN,NaN,NaN,NaN,NaN
THE SILENCING,17.0,90.0,Mystery And Thriller,2020-08-14,data/img/poster-341.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
SHOWBIZ KIDS,96.0,75.0,Documentary,2021-01-10,data/img/poster-342.jpg,Romance, Drama, Music,NaN,NaN,NaN
VIENA AND THE FANTOMES,20.0,25.0,"Romance, Drama, Music",2020-06-30,data/img/poster-343.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
THE GHOST OF PETER SELLERS,95.0,67.0,Documentary,2020-06-23,data/img/poster-344.jpg,Drama,NaN,NaN,NaN,NaN,NaN
THE LAST TREE,98.0,64.0,Drama,2020-06-26,data/img/poster-345.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
BEATS,98.0,76.0,"Comedy, Drama",2020-09-02,data/img/poster-346.jpg,Drama,NaN,NaN,NaN,NaN,NaN
A REGULAR WOMAN,94.0,0.0,Drama,2020-06-26,data/img/poster-348.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
SCHEME BIRDS,91.0,0.0,Documentary,2020-07-06,data/img/poster-349.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
ALL I CAN SAY,80.0,88.0,Documentary,2020-06-26,data/img/poster-350.jpg,Drama,NaN,NaN,NaN,NaN,NaN
"FAMILY ROMANCE, LLC",74.0,64.0,Drama,2020-07-03,data/img/poster-351.jpg,Drama,NaN,NaN,NaN,NaN,NaN
THE TRUTH,88.0,66.0,Drama,2020-07-01,data/img/poster-352.jpg,Comedy,NaN,NaN,NaN,NaN,NaN
BLACK MAGIC FOR WHITE BOYS,80.0,0.0,Comedy,2020-07-03,data/img/poster-353.jpg,Drama, War,NaN,NaN,NaN,NaN
THE OUTPOST,92.0,82.0,"Drama, War",2020-07-03,data/img/poster-354.jpg,Drama,NaN,NaN,NaN,NaN,NaN
DAS VORSPIEL,79.0,40.0,Drama,2020-06-26,data/img/poster-355.jpg,Music, Documentary,NaN,NaN,NaN,NaN
SUZI Q,100.0,100.0,"Music, Documentary",2020-07-01,data/img/poster-356.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
JOHN LEWIS: GOOD TROUBLE,96.0,70.0,Documentary,2020-07-03,data/img/poster-357.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
WELCOME TO CHECHNYA,100.0,85.0,Documentary,2020-07-03,data/img/poster-358.jpg,Comedy,NaN,NaN,NaN,NaN,NaN
IRRESISTIBLE,40.0,66.0,Comedy,2020-06-26,data/img/poster-359.jpg,Drama,NaN,NaN,NaN,NaN,NaN
DISCLOSURE,100.0,0.0,Drama,2020-06-26,data/img/poster-360.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
ASK NO QUESTIONS,100.0,86.0,Documentary,2020-06-28,data/img/poster-361.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
BEYOND DRIVEN,100.0,0.0,Documentary,2020-06-30,data/img/poster-362.jpg,Fantasy,NaN,NaN,NaN,NaN,NaN
FOUR KIDS AND IT,49.0,26.0,Fantasy,2020-06-30,data/img/poster-363.jpg,Comedy, Horror,NaN,NaN,NaN,NaN
TWO HEADS CREEK,90.0,71.0,"Comedy, Horror",2020-06-26,data/img/poster-364.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
MONEY MACHINE,44.0,80.0,Documentary,2020-07-03,data/img/poster-365.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
MANCHILD: THE SCHEA COTTON STORY,100.0,86.0,Documentary,2020-06-21,data/img/poster-366.jpg,Mystery And Thriller, Action,NaN,NaN,NaN,NaN
FORCE OF NATURE,9.0,17.0,"Mystery And Thriller, Action",2020-06-30,data/img/poster-367.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
MADAGASIKARA,89.0,0.0,Documentary,2020-06-26,data/img/poster-368.jpg,Crime, Mystery And Thriller, Drama,NaN,NaN,NaN
RUN WITH THE HUNTED,0.0,27.0,"Crime, Mystery And Thriller, Drama",2020-06-26,data/img/poster-369.jpg,Music, Documentary,NaN,NaN,NaN,NaN
DENISE HO: BECOMING THE SONG,90.0,0.0,"Music, Documentary",2020-08-03,data/img/poster-370.jpg,Horror, Mystery And Thriller,NaN,NaN,NaN,NaN
METAMORPHOSIS,33.0,47.0,"Horror, Mystery And Thriller",2020-07-02,data/img/poster-371.jpg,Comedy, Fantasy, Drama, Sci Fi,NaN,NaN
BABY FRANKENSTEIN,83.0,80.0,"Comedy, Fantasy, Drama, Sci Fi",2018-10-26,data/img/poster-372.jpg,Drama,NaN,NaN,NaN,NaN,NaN
HILL OF FREEDOM,82.0,55.0,Drama,2020-06-12,data/img/poster-373.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
CANIBA,59.0,33.0,Documentary,2018-10-19,data/img/poster-374.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
WHAT SHE SAID: THE ART OF PAULINE KAEL,88.0,56.0,Documentary,2019-12-25,data/img/poster-375.jpg,Comedy, Animation, Adventure, Kids And Family,NaN,NaN
STARDOG AND TURBOCAT,50.0,50.0,"Comedy, Animation, Adventure, Kids And Family",2020-06-19,data/img/poster-377.jpg,Comedy, Mystery And Thriller, Crime, Drama,NaN,NaN
KNIVES OUT,97.0,92.0,"Comedy, Mystery And Thriller, Crime, Drama",2019-11-27,data/img/poster-378.jpg,Drama,NaN,NaN,NaN,NaN,NaN
MOPE,50.0,0.0,Drama,2020-06-16,data/img/poster-379.jpg,Drama,NaN,NaN,NaN,NaN,NaN
THE SHORT HISTORY OF THE LONG ROAD,91.0,86.0,Drama,2020-05-15,data/img/poster-380.jpg,Animation, Drama,NaN,NaN,NaN,NaN
MARONA'S FANTASTIC TALE,95.0,100.0,"Animation, Drama",2020-06-12,data/img/poster-381.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
BABYTEETH,94.0,82.0,"Comedy, Drama",2020-06-18,data/img/poster-382.jpg,Comedy, Horror,NaN,NaN,NaN,NaN
DRIVEN,71.0,62.0,"Comedy, Horror",2019-02-09,data/img/poster-383.jpg,Drama,NaN,NaN,NaN,NaN,NaN
ZANA,100.0,0.0,Drama,2020-06-12,data/img/poster-385.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
BULLY. COWARD. VICTIM. THE STORY OF ROY COHN,74.0,53.0,Documentary,2020-06-19,data/img/poster-386.jpg,Mystery And Thriller, Drama,NaN,NaN,NaN,NaN
EXIT PLAN,38.0,29.0,"Mystery And Thriller, Drama",2020-06-12,data/img/poster-387.jpg,Comedy, Horror,NaN,NaN,NaN,NaN
SCARE PACKAGE,80.0,83.0,"Comedy, Horror",2020-06-19,data/img/poster-388.jpg,Drama,NaN,NaN,NaN,NaN,NaN
MISS JUNETEENTH,100.0,58.0,Drama,2020-06-19,data/img/poster-389.jpg,Drama, Comedy,NaN,NaN,NaN,NaN
THE KING OF STATEN ISLAND,74.0,84.0,"Drama, Comedy",2020-05-28,data/img/poster-390.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
GHOSTS OF WAR,38.0,41.0,"Mystery And Thriller, Horror",2020-06-18,data/img/poster-391.jpg,Action,NaN,NaN,NaN,NaN,NaN
I AM VENGEANCE: RETALIATION,44.0,18.0,Action,2020-06-19,data/img/poster-392.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
MY DARLING VIVIAN,95.0,94.0,Documentary,2020-06-19,data/img/poster-393.jpg,Romance, Documentary,NaN,NaN,NaN,NaN
SHOOT TO MARRY,76.0,0.0,"Romance, Documentary",2020-06-14,data/img/poster-394.jpg,Drama,NaN,NaN,NaN,NaN,NaN
THE DEPARTURE,50.0,0.0,Drama,2020-06-12,data/img/poster-396.jpg,Horror,NaN,NaN,NaN,NaN,NaN
